,ZIP,protected,not_protected,bin
2381,20877,0.416,0.584,"(0.278, 1.0]"
2395,83815,0.049,0.951,"(0.036, 0.054]"
2397,60624,0.077,0.923,"(0.054, 0.083]"
2400,784,0.994,0.0059999999999998,"(0.278, 1.0]"
2408,91001,0.314,0.6859999999999999,"(0.278, 1.0]"
2411,676,0.994,0.0059999999999998,"(0.278, 1.0]"
2412,12590,0.15,0.85,"(0.139, 0.278]"
2421,97527,0.098,0.902,"(0.083, 0.139]"
2446,49120,0.048,0.952,"(0.036, 0.054]"
2450,97222,0.127,0.873,"(0.083, 0.139]"
2465,85395,0.235,0.765,"(0.139, 0.278]"
2470,80911,0.255,0.745,"(0.139, 0.278]"
2474,95126,0.354,0.646,"(0.278, 1.0]"
2484,6450,0.3379999999999999,0.662,"(0.278, 1.0]"
2490,78218,0.534,0.4659999999999999,"(0.278, 1.0]"
2493,80211,0.249,0.751,"(0.139, 0.278]"
2495,75248,0.158,0.842,"(0.139, 0.278]"
2505,84047,0.187,0.813,"(0.139, 0.278]"
2514,95820,0.395,0.605,"(0.278, 1.0]"
2519,53132,0.06,0.94,"(0.054, 0.083]"
2522,11710,0.111,0.889,"(0.083, 0.139]"
2533,48186,0.0579999999999999,0.942,"(0.054, 0.083]"
2539,98513,0.12,0.88,"(0.083, 0.139]"
2566,55406,0.079,0.921,"(0.054, 0.083]"
2572,30265,0.072,0.928,"(0.054, 0.083]"
2580,11103,0.252,0.748,"(0.139, 0.278]"
2616,91752,0.6,0.4,"(0.278, 1.0]"
2641,13027,0.039,0.961,"(0.036, 0.054]"
2643,76021,0.138,0.862,"(0.083, 0.139]"
2652,6790,0.103,0.897,"(0.083, 0.139]"
2668,98001,0.11,0.89,"(0.083, 0.139]"
2669,80227,0.253,0.747,"(0.139, 0.278]"
2674,36608,0.038,0.962,"(0.036, 0.054]"
2683,2472,0.074,0.926,"(0.054, 0.083]"
2686,75089,0.218,0.782,"(0.139, 0.278]"
2691,85635,0.272,0.728,"(0.139, 0.278]"
2697,84663,0.171,0.829,"(0.139, 0.278]"
2733,76226,0.091,0.909,"(0.083, 0.139]"
2740,91601,0.344,0.656,"(0.278, 1.0]"
2741,63119,0.027,0.973,"(0.022, 0.036]"
2765,92612,0.118,0.882,"(0.083, 0.139]"
2770,97404,0.084,0.916,"(0.083, 0.139]"
2779,28270,0.086,0.914,"(0.083, 0.139]"
2789,20003,0.06,0.94,"(0.054, 0.083]"
2795,20782,0.391,0.609,"(0.278, 1.0]"
2819,29642,0.047,0.953,"(0.036, 0.054]"
2825,70601,0.034,0.966,"(0.022, 0.036]"
2835,90062,0.653,0.347,"(0.278, 1.0]"
2842,30094,0.048,0.952,"(0.036, 0.054]"
2854,21742,0.072,0.928,"(0.054, 0.083]"
2859,53186,0.124,0.876,"(0.083, 0.139]"
2862,48313,0.027,0.973,"(0.022, 0.036]"
2870,78717,0.151,0.849,"(0.139, 0.278]"
2875,6053,0.348,0.652,"(0.278, 1.0]"
2878,95341,0.6890000000000001,0.3109999999999999,"(0.278, 1.0]"
2892,89142,0.564,0.436,"(0.278, 1.0]"
2931,62521,0.017,0.983,"(0.012, 0.022]"
2933,39208,0.024,0.976,"(0.022, 0.036]"
2937,95482,0.3389999999999999,0.661,"(0.278, 1.0]"
2955,19141,0.031,0.969,"(0.022, 0.036]"
2962,98499,0.207,0.793,"(0.139, 0.278]"
2966,23235,0.069,0.931,"(0.054, 0.083]"
2975,7050,0.312,0.688,"(0.278, 1.0]"
2976,32309,0.065,0.935,"(0.054, 0.083]"
2982,34683,0.084,0.916,"(0.083, 0.139]"
2995,44601,0.006,0.994,"(0.002, 0.012]"
2997,47802,0.03,0.97,"(0.022, 0.036]"
2998,27302,0.086,0.914,"(0.083, 0.139]"
3004,66614,0.072,0.928,"(0.054, 0.083]"
3010,85388,0.258,0.742,"(0.139, 0.278]"
3019,730,0.993,0.007,"(0.278, 1.0]"
3024,11417,0.37,0.63,"(0.278, 1.0]"
3034,10010,0.1009999999999999,0.899,"(0.083, 0.139]"
3035,58701,0.048,0.952,"(0.036, 0.054]"
3040,77076,0.893,0.1069999999999999,"(0.278, 1.0]"
3044,33409,0.373,0.627,"(0.278, 1.0]"
3055,33150,0.241,0.759,"(0.139, 0.278]"
3062,55434,0.05,0.95,"(0.036, 0.054]"
3068,2038,0.037,0.963,"(0.036, 0.054]"
3082,66212,0.094,0.906,"(0.083, 0.139]"
3083,90807,0.287,0.7130000000000001,"(0.278, 1.0]"
3085,93955,0.456,0.544,"(0.278, 1.0]"
3103,46526,0.21,0.79,"(0.139, 0.278]"
3108,92203,0.493,0.507,"(0.278, 1.0]"
3109,77340,0.173,0.827,"(0.139, 0.278]"
3113,32086,0.073,0.927,"(0.054, 0.083]"
3116,983,0.991,0.009,"(0.278, 1.0]"
3122,71270,0.031,0.969,"(0.022, 0.036]"
3128,91604,0.113,0.887,"(0.083, 0.139]"
3135,35630,0.052,0.948,"(0.036, 0.054]"
3136,90803,0.178,0.822,"(0.139, 0.278]"
3137,77045,0.528,0.472,"(0.278, 1.0]"
3152,16601,0.01,0.99,"(0.002, 0.012]"
3156,84084,0.263,0.737,"(0.139, 0.278]"
3162,60423,0.063,0.937,"(0.054, 0.083]"
3163,57401,0.0409999999999999,0.959,"(0.036, 0.054]"
3168,34231,0.104,0.896,"(0.083, 0.139]"
3170,76020,0.1169999999999999,0.883,"(0.083, 0.139]"
3175,16066,0.03,0.97,"(0.022, 0.036]"
3176,32301,0.054,0.946,"(0.036, 0.054]"
3182,33801,0.18,0.8200000000000001,"(0.139, 0.278]"
3194,20784,0.38,0.62,"(0.278, 1.0]"
3203,73159,0.2789999999999999,0.7210000000000001,"(0.278, 1.0]"
3218,27545,0.173,0.827,"(0.139, 0.278]"
3230,81005,0.462,0.538,"(0.278, 1.0]"
3233,84128,0.424,0.5760000000000001,"(0.278, 1.0]"
3239,97086,0.095,0.905,"(0.083, 0.139]"
3242,55122,0.051,0.949,"(0.036, 0.054]"
3247,31324,0.098,0.902,"(0.083, 0.139]"
3257,32773,0.275,0.725,"(0.139, 0.278]"
3264,87505,0.423,0.577,"(0.278, 1.0]"
3277,50310,0.07,0.93,"(0.054, 0.083]"
3283,2446,0.06,0.94,"(0.054, 0.083]"
3285,76548,0.191,0.8089999999999999,"(0.139, 0.278]"
3290,6051,0.529,0.471,"(0.278, 1.0]"
3292,35810,0.062,0.938,"(0.054, 0.083]"
3294,34119,0.161,0.839,"(0.139, 0.278]"
3297,93004,0.4029999999999999,0.597,"(0.278, 1.0]"
3306,60525,0.157,0.843,"(0.139, 0.278]"
3319,10030,0.288,0.712,"(0.278, 1.0]"
3322,92124,0.182,0.8180000000000001,"(0.139, 0.278]"
3328,95131,0.128,0.872,"(0.083, 0.139]"
3331,84075,0.061,0.939,"(0.054, 0.083]"
3337,76053,0.309,0.6910000000000001,"(0.278, 1.0]"
3358,19966,0.07,0.93,"(0.054, 0.083]"
3380,29707,0.088,0.912,"(0.083, 0.139]"
3395,18201,0.56,0.4399999999999999,"(0.278, 1.0]"
3396,2062,0.072,0.928,"(0.054, 0.083]"
3398,1109,0.426,0.5740000000000001,"(0.278, 1.0]"
3426,68022,0.031,0.969,"(0.022, 0.036]"
3431,81504,0.204,0.796,"(0.139, 0.278]"
3436,89011,0.296,0.704,"(0.278, 1.0]"
3439,24540,0.0289999999999999,0.971,"(0.022, 0.036]"
3450,63146,0.025,0.975,"(0.022, 0.036]"
3451,97132,0.139,0.861,"(0.083, 0.139]"
3458,23233,0.032,0.968,"(0.022, 0.036]"
3462,19002,0.043,0.957,"(0.036, 0.054]"
3468,75036,0.107,0.893,"(0.083, 0.139]"
3470,98273,0.3279999999999999,0.672,"(0.278, 1.0]"
3494,70663,0.0409999999999999,0.959,"(0.036, 0.054]"
3507,32809,0.594,0.406,"(0.278, 1.0]"
3514,99645,0.065,0.935,"(0.054, 0.083]"
3516,7054,0.106,0.894,"(0.083, 0.139]"
3529,72204,0.08,0.92,"(0.054, 0.083]"
3556,52501,0.129,0.871,"(0.083, 0.139]"
3569,60174,0.096,0.904,"(0.083, 0.139]"
3571,32583,0.053,0.947,"(0.036, 0.054]"
3572,71603,0.01,0.99,"(0.002, 0.012]"
3578,6854,0.418,0.5820000000000001,"(0.278, 1.0]"
3592,22032,0.0969999999999999,0.903,"(0.083, 0.139]"
3593,94580,0.371,0.629,"(0.278, 1.0]"
3617,70815,0.087,0.913,"(0.083, 0.139]"
3618,57108,0.024,0.976,"(0.022, 0.036]"
3646,24073,0.024,0.976,"(0.022, 0.036]"
3648,40701,0.016,0.984,"(0.012, 0.022]"
3650,30507,0.472,0.528,"(0.278, 1.0]"
3665,92604,0.122,0.878,"(0.083, 0.139]"
3681,97008,0.166,0.834,"(0.139, 0.278]"
3684,28303,0.099,0.901,"(0.083, 0.139]"
3688,14226,0.0559999999999999,0.944,"(0.054, 0.083]"
3694,43420,0.148,0.852,"(0.139, 0.278]"
3704,14626,0.077,0.923,"(0.054, 0.083]"
3707,12303,0.079,0.921,"(0.054, 0.083]"
3716,28031,0.077,0.923,"(0.054, 0.083]"
3733,19713,0.163,0.837,"(0.139, 0.278]"
3735,33510,0.311,0.6890000000000001,"(0.278, 1.0]"
3742,60048,0.055,0.945,"(0.054, 0.083]"
3747,61108,0.183,0.817,"(0.139, 0.278]"
3781,55912,0.154,0.846,"(0.139, 0.278]"
3785,81301,0.086,0.914,"(0.083, 0.139]"
3791,44125,0.0559999999999999,0.944,"(0.054, 0.083]"
3810,70607,0.048,0.952,"(0.036, 0.054]"
3818,71901,0.075,0.925,"(0.054, 0.083]"
3821,33547,0.151,0.849,"(0.139, 0.278]"
3828,76134,0.426,0.5740000000000001,"(0.278, 1.0]"
3830,95966,0.151,0.849,"(0.139, 0.278]"
3851,63640,0.019,0.981,"(0.012, 0.022]"
3867,58504,0.039,0.961,"(0.036, 0.054]"
3868,687,0.996,0.004,"(0.278, 1.0]"
3877,55448,0.039,0.961,"(0.036, 0.054]"
3886,37849,0.0409999999999999,0.959,"(0.036, 0.054]"
