ZIP,protected,not_protected,bin
77521,0.466,0.534,"(0.278, 1.0]"
77373,0.408,0.5920000000000001,"(0.278, 1.0]"
43026,0.048,0.952,"(0.036, 0.054]"
77077,0.212,0.788,"(0.139, 0.278]"
95127,0.565,0.43500000000000005,"(0.278, 1.0]"
48180,0.06,0.94,"(0.054, 0.083]"
33027,0.45399999999999996,0.546,"(0.278, 1.0]"
80016,0.1,0.9,"(0.083, 0.139]"
2155,0.083,0.917,"(0.054, 0.083]"
77375,0.308,0.692,"(0.278, 1.0]"
90640,0.797,0.20299999999999996,"(0.278, 1.0]"
27406,0.091,0.909,"(0.083, 0.139]"
93309,0.486,0.514,"(0.278, 1.0]"
60073,0.415,0.585,"(0.278, 1.0]"
30058,0.025,0.975,"(0.022, 0.036]"
37122,0.047,0.953,"(0.036, 0.054]"
32818,0.146,0.854,"(0.139, 0.278]"
7047,0.6829999999999999,0.31700000000000006,"(0.278, 1.0]"
32765,0.209,0.791,"(0.139, 0.278]"
90731,0.5770000000000001,0.42299999999999993,"(0.278, 1.0]"
27519,0.065,0.935,"(0.054, 0.083]"
92627,0.415,0.585,"(0.278, 1.0]"
90660,0.899,0.10099999999999998,"(0.278, 1.0]"
85041,0.6559999999999999,0.3440000000000001,"(0.278, 1.0]"
32259,0.067,0.933,"(0.054, 0.083]"
30101,0.1,0.9,"(0.083, 0.139]"
78745,0.389,0.611,"(0.278, 1.0]"
20874,0.263,0.737,"(0.139, 0.278]"
11216,0.128,0.872,"(0.083, 0.139]"
43055,0.018000000000000002,0.982,"(0.012, 0.022]"
95014,0.031,0.969,"(0.022, 0.036]"
60016,0.163,0.837,"(0.139, 0.278]"
78251,0.669,0.33099999999999996,"(0.278, 1.0]"
44035,0.086,0.914,"(0.083, 0.139]"
976,0.993,0.007000000000000006,"(0.278, 1.0]"
60609,0.54,0.45999999999999996,"(0.278, 1.0]"
10031,0.507,0.493,"(0.278, 1.0]"
95828,0.27399999999999997,0.726,"(0.139, 0.278]"
77396,0.483,0.517,"(0.278, 1.0]"
30906,0.043,0.957,"(0.036, 0.054]"
60505,0.7829999999999999,0.21700000000000008,"(0.278, 1.0]"
91762,0.7040000000000001,0.29599999999999993,"(0.278, 1.0]"
91702,0.6679999999999999,0.3320000000000001,"(0.278, 1.0]"
43130,0.018000000000000002,0.982,"(0.012, 0.022]"
30083,0.027000000000000003,0.973,"(0.022, 0.036]"
73160,0.113,0.887,"(0.083, 0.139]"
10950,0.12300000000000001,0.877,"(0.083, 0.139]"
92115,0.298,0.702,"(0.278, 1.0]"
93291,0.563,0.43700000000000006,"(0.278, 1.0]"
89148,0.185,0.815,"(0.139, 0.278]"
93313,0.5760000000000001,0.42399999999999993,"(0.278, 1.0]"
21122,0.051,0.949,"(0.036, 0.054]"
22407,0.125,0.875,"(0.083, 0.139]"
31907,0.051,0.949,"(0.036, 0.054]"
90019,0.439,0.5609999999999999,"(0.278, 1.0]"
92392,0.5329999999999999,0.4670000000000001,"(0.278, 1.0]"
37064,0.06,0.94,"(0.054, 0.083]"
22030,0.11800000000000001,0.882,"(0.083, 0.139]"
78501,0.888,0.11199999999999999,"(0.278, 1.0]"
32825,0.46299999999999997,0.537,"(0.278, 1.0]"
11435,0.311,0.6890000000000001,"(0.278, 1.0]"
89123,0.209,0.791,"(0.139, 0.278]"
2360,0.026000000000000002,0.974,"(0.022, 0.036]"
6010,0.174,0.8260000000000001,"(0.139, 0.278]"
78504,0.8270000000000001,0.17299999999999993,"(0.278, 1.0]"
10033,0.6659999999999999,0.3340000000000001,"(0.278, 1.0]"
2151,0.36700000000000005,0.633,"(0.278, 1.0]"
95111,0.519,0.481,"(0.278, 1.0]"
11550,0.444,0.556,"(0.278, 1.0]"
19446,0.031,0.969,"(0.022, 0.036]"
37027,0.036000000000000004,0.964,"(0.022, 0.036]"
19720,0.17,0.83,"(0.139, 0.278]"
78520,0.934,0.06599999999999995,"(0.278, 1.0]"
92647,0.287,0.7130000000000001,"(0.278, 1.0]"
33065,0.335,0.665,"(0.278, 1.0]"
33064,0.23800000000000002,0.762,"(0.139, 0.278]"
95051,0.131,0.869,"(0.083, 0.139]"
10032,0.645,0.355,"(0.278, 1.0]"
92707,0.84,0.16000000000000003,"(0.278, 1.0]"
8854,0.15,0.85,"(0.139, 0.278]"
2169,0.054000000000000006,0.946,"(0.036, 0.054]"
83301,0.151,0.849,"(0.139, 0.278]"
37167,0.111,0.889,"(0.083, 0.139]"
80634,0.285,0.7150000000000001,"(0.278, 1.0]"
92620,0.09300000000000001,0.907,"(0.083, 0.139]"
